00LU               20181210                                                                                   
0601LUA0N       20190101002175100000005000 0000045270002079   
0601LUA0N       20190101002180100000005000 0000045440002082   
0601LUA0N       20190101002185100000005000 0000045580002084   
0601LUA0N       20190101002190100000005000 0000045720002085   
0601LUA0N       20190101002195100000005000 0000045890002088   
0601LUA0N       20190101002200100000005000 0000046030002090   
0601LUA0N       20190101002205100000005000 0000046170002092   
0601LUA0N       20190101002210100000005000 0000046340002094   
0601LUA0N       20190101002215100000005000 0000046480002096   
0601LUA0N       20190101002220100000005000 0000046620002098   
0601LUA0N       20190101002225100000005000 0000046790002101   
0601LUA0N       20190101002230100000005000 0000046930002102   
0601LUA0N       20190101002235100000005000 0000047070002104   
0601LUA0N       20190101002240100000005000 0000047230002106   
0601LUA0N       20190101002245100000005000 0000047380002108   
0601LUA0N       20190101002250100000005000 0000047520002110   
0601LUA0N       20190101002255100000005000 0000047680002112   
0601LUA0N       20190101002260100000005000 0000047820002114   
0601LUA0N       20190101002265100000005000 0000047970002116   
0601LUA0N       20190101002270100000005000 0000048110002117   
0601LUA0N       20190101002275100000005000 0000048270002119   
0601LUA0N       20190101002280100000005000 0000048410002121   
0601LUA0N       20190101002285100000005000 0000048550002122   
0601LUA0N       20190101002290100000005000 0000048720002125   
0601LUA0N       20190101002295100000005000 0000048860002127   
0601LUA0N       20190101002300100000005000 0000049000002128   
0601LUA0N       20190101002305100000005000 0000049170002131   
0601LUA0N       20190101002310100000005000 0000049310002132   
0601LUA0N       20190101002315100000005000 0000049450002134   
0601LUA0N       20190101002320100000005000 0000049620002136   
0601LUA0N       20190101002325100000005000 0000049760002138   
0601LUA0N       20190101002330100000005000 0000049900002139   
0601LUA0N       20190101002335100000005000 0000050070002142   
0601LUA0N       20190101002340100000005000 0000050210002143   
0601LUA0N       20190101002345100000005000 0000050350002145   
0601LUA0N       20190101002350100000005000 0000050520002148   
0601LUA0N       20190101002355100000005000 0000050660002149   
0601LUA0N       20190101002360100000005000 0000050800002150   
0601LUA0N       20190101002365100000005000 0000050970002153   
0601LUA0N       20190101002370100000005000 0000051110002154   
0601LUA0N       20190101002375100000005000 0000051250002156   
0601LUA0N       20190101002380100000005000 0000051420002158   
0601LUA0N       20190101002385100000005000 0000051560002160   
0601LUA0N       20190101002390100000005000 0000051700002161   
0601LUA0N       20190101002395100000005000 0000051870002164   
0601LUA0N       20190101002400100000005000 0000052010002165   
0601LUA0N       20190101002405100000005000 0000052150002166   
0601LUA0N       20190101002410100000005000 0000052320002169   
0601LUA0N       20190101002415100000005000 0000052460002170   
0601LUA0N       20190101002420100000005000 0000052600002171   
0601LUA0N       20190101002425100000005000 0000052770002174   
0601LUA0N       20190101002430100000005000 0000052910002175   
0601LUA0N       20190101002435100000005000 0000053050002176   
0601LUA0N       20190101002440100000005000 0000053220002179   
0601LUA0N       20190101002445100000005000 0000053360002180   
0601LUA0N       20190101002450100000005000 0000053500002181   
